2026-07-01 21:55:58 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-01 21:57:24 | DEBUG    | trading_bot | Symbol validation passed: BTCUSDT
2026-07-01 21:57:24 | INFO     | trading_bot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-01 21:57:24 | DEBUG    | trading_bot | Raw request payload: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-01 21:57:26 | INFO     | trading_bot | Order response: orderId=18276412023 status=NEW executedQty=0.0000 avgPrice=None
2026-07-01 21:57:26 | DEBUG    | trading_bot | Raw response payload: {'orderId': 18276412023, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ99f52ceda3122cda459486', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782923246524}
2026-07-01 22:07:54 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-02 00:01:52 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-02 00:03:06 | DEBUG    | trading_bot | Symbol validation passed: BTCUSDT
2026-07-02 00:03:06 | INFO     | trading_bot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-02 00:03:06 | DEBUG    | trading_bot | Raw request payload: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-02 00:03:07 | INFO     | trading_bot | Order response: orderId=18298305876 status=NEW executedQty=0.0000 avgPrice=None
